coreid,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementRemarks
262612,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262614,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262616,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262618,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262624,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262626,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262630,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262634,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262636,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262638,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262640,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262642,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262644,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262646,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262648,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262650,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262652,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262654,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262660,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262662,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262664,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262666,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262668,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262670,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262672,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262674,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262676,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262678,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262680,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262682,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262684,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262686,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262688,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262690,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262692,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262694,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262696,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262698,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262700,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262702,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262704,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262710,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271237,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271238,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271239,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271240,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271241,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271242,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271243,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271244,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271245,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271246,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271247,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271248,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271249,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271251,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271253,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271254,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271255,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271257,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271258,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271259,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271261,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271262,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271263,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271264,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271265,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271266,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271269,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271270,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271271,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271273,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271274,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271275,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271276,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271277,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271278,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271279,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271280,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271281,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271284,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271285,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271286,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271287,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271288,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271290,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271291,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271292,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271293,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271295,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271296,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271297,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271298,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271299,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271300,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271302,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271303,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271304,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271305,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271306,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271307,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271308,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271309,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271310,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271311,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271312,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271313,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
271314,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271316,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
271317,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271318,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
271319,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
289136,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
289137,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
289138,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
289623,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
289653,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
289654,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
289666,Habitat,,"shrub scrub",,,2021-04-28T08:23:21Z,egbot,
289701,Habitat,,"shrub scrub",,,2021-04-28T08:23:21Z,egbot,
289802,Habitat,,"shrub scrub",,,2021-04-28T08:23:21Z,egbot,
289890,Habitat,,"shrub scrub",,,2021-04-28T08:23:21Z,egbot,
289892,Habitat,,"shrub scrub",,,2021-04-28T08:23:21Z,egbot,
289897,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
289904,Habitat,,"shrub scrub",,,2021-04-28T08:23:21Z,egbot,
289907,Habitat,,"shrub scrub",,,2021-04-28T08:23:21Z,egbot,
293962,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
293963,Habitat,,"woody wetlands",,,2021-04-28T08:23:21Z,egbot,
293964,Habitat,,"woody wetlands",,,2021-04-28T08:23:21Z,egbot,
293965,Habitat,,"woody wetlands",,,2021-04-28T08:23:21Z,egbot,
293966,Habitat,,"woody wetlands",,,2021-04-28T08:23:21Z,egbot,
