coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
276639,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-1_1616456513_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-1_1616456513_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-1_1616456513_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-1_1616456513.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:c985f0a8-345f-4b6c-a939-b392a8921e0d,"2021-03-22 16:41:54",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=276639,StillImage,Photograph,en
276639,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-2_1616456533_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-2_1616456533_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-2_1616456533_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-2_1616456533.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:418f6255-3b4d-48d7-b7c1-16b457790e94,"2021-03-22 16:42:14",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=276639,StillImage,Photograph,en
276639,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-3_1616456551_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-3_1616456551_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-3_1616456551_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-3_1616456551.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:02dc692c-1263-4363-9f0f-e2689e519aac,"2021-03-22 16:42:33",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=276639,StillImage,Photograph,en
272919,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-1_1616457674_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-1_1616457674_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-1_1616457674_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-1_1616457674.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:c8280ab2-13f4-4dc5-ad78-953e83dd80ea,"2021-03-22 17:01:15",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=272919,StillImage,Photograph,en
272919,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-2_1616457692_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-2_1616457692_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-2_1616457692_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-2_1616457692.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:61b5907c-8e44-4b6f-965b-cc1a84c85274,"2021-03-22 17:01:34",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=272919,StillImage,Photograph,en
272919,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-3_1616457710_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-3_1616457710_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-3_1616457710_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-3_1616457710.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:9b52263f-7d4d-4fb7-bba7-f7f15b0f2523,"2021-03-22 17:01:51",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=272919,StillImage,Photograph,en
394203,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000031422-1_1616458598_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000031422-1_1616458598_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000031422-1_1616458598_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000031422-1_1616458598.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:4eefe2ed-76ea-4744-8b83-9856df69b114,"2021-03-22 17:16:39",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=394203,StillImage,Photograph,en
394203,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000031422-2_1616458619_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000031422-2_1616458619_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000031422-2_1616458619_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000031422-2_1616458619.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:5d489af4-60c2-474b-9851-48c03f8ce3f8,"2021-03-22 17:17:00",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=394203,StillImage,Photograph,en
394203,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000031422-3_1616458640_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000031422-3_1616458640_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000031422-3_1616458640_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000031422-3_1616458640.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:82376aa8-6197-469f-9fdc-5076048f52a8,"2021-03-22 17:17:21",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=394203,StillImage,Photograph,en
480994,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000061053-1_1616459812_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000061053-1_1616459812_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000061053-1_1616459812_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000061053-1_1616459812.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:56afbfd3-afb1-4437-946c-365d464aba7a,"2021-03-22 17:36:53",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=480994,StillImage,Photograph,en
