coreid,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementRemarks
249130,Habitat,,"pasture hay",,,2021-04-28T08:23:21Z,egbot,
249131,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
249132,Habitat,,"pasture hay",,,2021-04-28T08:23:21Z,egbot,
249143,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
249151,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256953,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256954,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256955,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256967,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256969,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256973,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256975,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256981,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256982,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256984,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256985,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256987,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256988,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256991,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256993,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
256998,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257006,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257008,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257010,Habitat,,"woody wetlands",,,2021-04-28T08:23:21Z,egbot,
257011,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257029,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257034,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257043,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257047,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257049,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257052,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257054,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257055,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257057,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257058,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257063,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257065,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257068,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257070,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257072,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257076,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257078,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257080,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257083,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257087,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257089,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257100,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257101,Habitat,,"woody wetlands",,,2021-04-28T08:23:21Z,egbot,
257103,Habitat,,"woody wetlands",,,2021-04-28T08:23:21Z,egbot,
257108,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257114,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257116,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257138,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257140,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257142,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257149,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257152,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257154,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257156,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257158,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257165,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257168,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257177,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257181,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257182,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257187,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257191,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257193,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257194,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257197,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257198,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257199,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257200,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257201,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257203,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257215,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257216,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257220,Habitat,,"woody wetlands",,,2021-04-28T08:23:21Z,egbot,
257221,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257226,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257227,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257229,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257230,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257231,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257232,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257235,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257236,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257237,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257241,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257243,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257246,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257253,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257255,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257257,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257260,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257261,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
257264,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257267,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257275,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257276,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257281,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257285,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257287,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257293,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257295,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257303,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257305,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257312,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257319,Habitat,,"woody wetlands",,,2021-04-28T08:23:21Z,egbot,
257322,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257329,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257331,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257337,Habitat,,"woody wetlands",,,2021-04-28T08:23:21Z,egbot,
257339,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257341,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257347,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257352,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257354,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257355,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257357,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257358,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257362,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257363,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257364,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257365,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257366,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257367,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257370,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257371,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257376,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257377,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
