coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
276639,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-1_1616456513_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-1_1616456513_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-1_1616456513_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-1_1616456513.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:c985f0a8-345f-4b6c-a939-b392a8921e0d,"2021-03-22 16:41:54",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=276639,StillImage,Photograph,en
276639,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-2_1616456533_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-2_1616456533_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-2_1616456533_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-2_1616456533.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:418f6255-3b4d-48d7-b7c1-16b457790e94,"2021-03-22 16:42:14",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=276639,StillImage,Photograph,en
276639,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-3_1616456551_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-3_1616456551_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-3_1616456551_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000007193-3_1616456551.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:02dc692c-1263-4363-9f0f-e2689e519aac,"2021-03-22 16:42:33",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=276639,StillImage,Photograph,en
272919,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-1_1616457674_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-1_1616457674_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-1_1616457674_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-1_1616457674.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:c8280ab2-13f4-4dc5-ad78-953e83dd80ea,"2021-03-22 17:01:15",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=272919,StillImage,Photograph,en
272919,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-2_1616457692_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-2_1616457692_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-2_1616457692_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-2_1616457692.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:61b5907c-8e44-4b6f-965b-cc1a84c85274,"2021-03-22 17:01:34",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=272919,StillImage,Photograph,en
272919,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-3_1616457710_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-3_1616457710_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-3_1616457710_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000026487-3_1616457710.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:9b52263f-7d4d-4fb7-bba7-f7f15b0f2523,"2021-03-22 17:01:51",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=272919,StillImage,Photograph,en
276521,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000165039-1_1616516184_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000165039-1_1616516184_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000165039-1_1616516184_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000165039-1_1616516184.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:870ba6f0-1509-40f2-8195-27f6013c4acd,"2021-03-23 09:16:25",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=276521,StillImage,Photograph,en
276521,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000165039-2_1616516212_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000165039-2_1616516212_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000165039-2_1616516212_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000165039-2_1616516212.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:b01c52fb-526f-474b-b87b-40e5afe36c75,"2021-03-23 09:16:53",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=276521,StillImage,Photograph,en
276521,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000165039-3_1616516232_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000165039-3_1616516232_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000165039-3_1616516232_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000165039-3_1616516232.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:306a8b50-b5bb-4704-87aa-72a88c98d829,"2021-03-23 09:17:13",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=276521,StillImage,Photograph,en
249131,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000018630-1_1617048957_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000018630-1_1617048957_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000018630-1_1617048957_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000018630-1_1617048957.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:ed3b4f7a-7189-4d16-88f3-ad063040e209,"2021-03-29 13:15:58",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=249131,StillImage,Photograph,en
